artist,count
Queen Naija,22
John & Yoko/The Plastic Ono Band With The Harlem Community Choir,2
Ludacris Featuring Nicki Minaj,20
"Sheryl Crow, Kid Rock & Keith Urban",1
Luis Fonsi & Demi Lovato,19
Lil Peep & XXXTENTACION,11
French Montana Featuring Drake,31
Future Featuring Travis Scott,3
Justin Timberlake & Matt Morris Featuring Charlie Sexton,3
Andy Williams,9
Quavo Featuring Drake,1
Dr. Dre Featuring Snoop Dogg & Akon,17
Lin-Manuel Miranda & Ben Platt,1
Frank Sinatra,1
Offset Featuring Travis Scott & 21 Savage,1
Wham!,8
Avenged Sevenfold,7
"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",2
Tessanne Chin,2
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",18
JAY-Z Featuring Beyonce,1
Wiz Khalifa Featuring Too $hort,9
Tyga Featuring Lil Wayne,22
Auli'i Cravalho,20
Linkin Park Featuring Kiiara,19
Ozuna x Cardi B,14
Glee Cast Featuring Kristin Chenoweth,4
Lil Wayne Featuring Drake & Future,22
Spose,9
Nelly Featuring T-Pain & Akon,1
Rihanna & Kanye West & Paul McCartney,20
Justin Bieber Featuring Travi$ Scott,3
Lil Baby & Gunna Featuring Lil Durk & NAV,1
TakeOff,3
Alicia Keys,37
Michael Buble,38
Kelly Rowland Featuring Lil Wayne,37
Pistol Annies,3
John Legend,80
ScHoolboy Q,15
Bazzi,37
Logic Featuring Wiz Khalifa,1
"Benny Blanco, Halsey & Khalid",23
Kodak Black,64
Gunna,5
Christopher Wilde,2
Lil Wayne Featuring Rick Ross,20
Blake Shelton & Dia Frampton,1
Tamar Braxton,21
Zay Hilfigerrr & Zayion McCall,21
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",7
will.i.am Featuring Miley Cyrus,1
Migos Featuring Travis Scott,2
6ix9ine,36
Nicki Minaj Featuring Eminem & Labrinth,1
Kodak Black Featuring Juice WRLD,1
Sara Bareilles,69
Tim McGraw With Taylor Swift,20
Leonard Cohen,1
6ix9ine Featuring Tory Lanez,6
Joyner Lucas Featuring Logic,2
"Pitbull Featuring Ne-Yo, Afrojack & Nayer",45
Austin Mahone Featuring Pitbull,15
Chance The Rapper,1
k.d. lang,1
Young Jeezy Featuring Jay-Z & Andre 3000,15
Taio Cruz Featuring Flo Rida,1
Tegan And Sara Featuring The Lonely Island,3
A$AP Rocky,4
Kehlani,18
Drake Featuring Young Thug,2
Future & Young Thug,3
Mason Ramsey,2
XXXTENTACION Featuring Kanye West & Travis Barker,1
Gucci Mane Featuring Offset,2
Lil Skies Featuring Yung Pinch,3
K'Naan Featuring Nelly Furtado,2
Three 6 Mafia Vs. Tiesto With Sean Kingston & Flo Rida,2
Jennifer Lopez,8
Tyga,27
Alabama Shakes,2
